time_step,stress_t,stress_tdt,pl_strain_t,pl_strain_tdt,el_strain_t,el_strain_tdt,strain_t,strain_tdt,energy_tdt,dissipation_rate,group,strain_dynamic_tdt,stress_dynamic_tdt
0,0,-18.65016121,0,-6.75E-06,0,-9.33E-05,0,-0.0001,0.00174006,0.000125874,0,0,0
1,-18.65016121,-34.84080341,-6.75E-06,-2.58E-05,-9.33E-05,-0.000174204,-0.0001,-0.0002,0.00455882,0.000663605,0,0,0
2,-34.84080341,-48.89627951,-2.58E-05,-5.55E-05,-0.000174204,-0.000244481,-0.0002,-0.0003,0.007995104,0.001453326,0,0,0
3,-48.89627951,-61.09816784,-5.55E-05,-9.45E-05,-0.000244481,-0.000305491,-0.0003,-0.0004,0.011722703,0.002382252,0,0,0
4,-61.09816784,-71.69091319,-9.45E-05,-0.000141545,-0.000305491,-0.000358455,-0.0004,-0.0005,0.015519741,0.003372073,0,0,0
5,-71.69091319,-80.88672377,-0.000141545,-0.000195566,-0.000358455,-0.000404434,-0.0005,-0.0006,0.019238832,0.004369577,0,0,0
6,-80.88672377,-88.86982254,-0.000195566,-0.000255651,-0.000404434,-0.000444349,-0.0006,-0.0007,0.022786071,0.005339699,0,0,0
7,-88.86982254,-95.80013775,-0.000255651,-0.000320999,-0.000444349,-0.000479001,-0.0007,-0.0008,0.026105737,0.006260388,0,0,0
8,-95.80013775,-101.8165069,-0.000320999,-0.000390917,-0.000479001,-0.000509083,-0.0008,-0.0009,0.029168581,0.007118822,0,0,0
9,-101.8165069,-107.0394579,-0.000390917,-0.000464803,-0.000509083,-0.000535197,-0.0009,-0.001,0.03196381,0.007908637,0,0,0
10,-107.0394579,-111.5736242,-0.000464803,-0.000542132,-0.000535197,-0.000557868,-0.001,-0.0011,0.034493295,0.008627896,0,0,0
11,-111.5736242,-115.5098403,-0.000542132,-0.000622451,-0.000557868,-0.000577549,-0.0011,-0.0012,0.036766644,0.009277626,0,0,0
12,-115.5098403,-118.9269618,-0.000622451,-0.000705365,-0.000577549,-0.000594635,-0.0012,-0.0013,0.03879863,0.009860757,0,0,0
13,-118.9269618,-121.893445,-0.000705365,-0.000790533,-0.000594635,-0.000609467,-0.0013,-0.0014,0.040606554,0.01038137,0,0,0
14,-121.893445,-124.4687187,-0.000790533,-0.000877656,-0.000609467,-0.000622344,-0.0014,-0.0015,0.042209338,0.010844167,0,0,0
15,-124.4687187,-126.7043741,-0.000877656,-0.000966478,-0.000622344,-0.000633522,-0.0015,-0.0016,0.043625639,0.011254101,0,0,0
16,-126.7043741,-128.645199,-0.000966478,-0.001056774,-0.000633522,-0.000643226,-0.0016,-0.0017,0.044874012,0.011616131,0,0,0
17,-128.645199,-130.3300746,-0.001056774,-0.00114835,-0.000643226,-0.00065165,-0.0017,-0.0018,0.045971913,0.011935058,0,0,0
18,-130.3300746,-131.7927546,-0.00114835,-0.001241036,-0.00065165,-0.000658964,-0.0018,-0.0019,0.046935845,0.012215422,0,0,0
19,-131.7927546,-133.0625414,-0.001241036,-0.001334687,-0.000658964,-0.000665313,-0.0019,-0.002,0.047780659,0.012461449,0,0,0
20,-133.0625414,-134.1648731,-0.001334687,-0.001429176,-0.000665313,-0.000670824,-0.002,-0.0021,0.048520042,0.012677016,0,0,0
21,-134.1648731,-135.1218331,-0.001429176,-0.001524391,-0.000670824,-0.000675609,-0.0021,-0.0022,0.0491666,0.012865652,0,0,0
22,-135.1218331,-135.9525925,-0.001524391,-0.001620237,-0.000675609,-0.000679763,-0.0022,-0.0023,0.049731347,0.01303054,0,0,0
